STRUctures;Temple;Portique;Thermes;Captage;Aqueduc;A1;A2;A3;A4;A5;A6;A7;S1;F1;M1;C1;C2;C3;Inscr;Folk;Eau1;Eau2;Eau3;Phen_Naturel;Min;StrHyd;Mob;Tot;revisit
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;INSC;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;4;1
no.stru;TEMPLE;PORTIQUE;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;C3;INSC;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;7;1
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;INSC;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;no.mob;5;1
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;no.mob;0;0
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;no.mob;1;0
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;5;1
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;EAU1;no.eau2;no.eau3;no.natu;no.minr;no.hyd;MOB;1;0
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;2;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;INSC;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;HYD;MOB;2;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;2;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;2;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;0;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;HYD;MOB;2;0
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;4;1
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;1;0
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;C1;C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;4;1
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;INSC;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;1;0
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;2;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;1;0
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;A1;no.A2;A3;A4;A5;A6;A7;S1;F1;M1;no.C1;C2;no.C3;INSC;FOLK;no.eau1;EAU2;no.eau3;NATU;no.minr;no.hyd;MOB;13;1
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;no.mob;2;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;1;0
no.stru;TEMPLE;PORTIQUE;no.ther;no.capt;no.aque;A1;A2;A3;no.A4;A5;A6;A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;INSC;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;11;1
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;3;1
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;NATU;no.minr;no.hyd;no.mob;0;0
no.stru;TEMPLE;no.port;THERMES;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;INSC;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;HYD;MOB;6;1
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;1;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;INSC;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;2;0
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;A1;A2;no.A3;no.A4;no.A5;A6;no.A7;S1;F1;M1;no.C1;no.C2;no.C3;INSC;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;9;1
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;no.mob;1;0
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;MINR;HYD;no.mob;1;0
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;no.mob;2;0
no.stru;no.temple;no.port;no.ther;no.capt;AQUEDUC;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;C1;no.C2;no.C3;no.insc;no.folk;no.eau1;no.eau2;EAU3;no.natu;no.minr;HYD;MOB;2;0
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;1;0
no.stru;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;no.F1;M1;C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;3;1
no.stru;TEMPLE;PORTIQUE;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;F1;M1;no.C1;no.C2;no.C3;INSC;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;8;1
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;MINR;no.hyd;MOB;2;0
no.stru;no.temple;no.port;no.ther;CAPTAGE;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;no.eau2;EAU3;no.natu;MINR;HYD;MOB;4;1
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;2;0
STRU;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;3;1
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;no.mob;1;0
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;no.A1;A2;A3;no.A4;A5;A6;no.A7;no.S1;F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;7;1
STRU;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;4;1
no.stru;TEMPLE;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;2;0
STRU;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;3;1
STRU;no.temple;no.port;no.ther;no.capt;no.aque;A1;no.A2;no.A3;no.A4;no.A5;no.A6;A7;no.S1;no.F1;no.M1;no.C1;no.C2;no.C3;no.insc;no.folk;no.eau1;EAU2;no.eau3;no.natu;no.minr;no.hyd;MOB;3;1
STRU;no.temple;no.port;no.ther;no.capt;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;no.F1;M1;no.C1;no.C2;no.C3;no.insc;FOLK;no.eau1;EAU2;no.eau3;NATU;no.minr;no.hyd;MOB;3;1
no.stru;no.temple;no.port;no.ther;CAPTAGE;no.aque;no.A1;no.A2;no.A3;no.A4;no.A5;no.A6;no.A7;S1;no.F1;no.M1;no.C1;no.C2;no.C3;INSC;no.folk;no.eau1;no.eau2;EAU3;no.natu;no.minr;HYD;MOB;3;1
