;F_Ol;F_Nm;F_A2;F_A1;F_A0;F_B1;F_B0;F_EUrb;F_Urb;F_Eau;F_EauC;F_EauS;F_EauT
Alis P3;0;1;1;0;0;0;0;0;1;1;0;0;0
Alis P4;0;1;1;0;0;0;0;0;1;1;0;0;0
Alis P5;0;1;1;0;0;0;0;0;1;1;0;0;0
Andl;0;1;0;0;1;0;0;1;0;1;0;0;0
ArcB;0;1;0;0;0;1;0;1;0;1;0;0;0
ArnD;0;1;0;0;1;0;0;1;0;1;0;0;0
Bain;0;1;0;0;0;1;0;0;1;0;1;0;0
Balsm;0;1;0;0;1;0;0;1;0;1;0;0;0
Baun;0;1;0;0;0;1;0;1;0;1;0;0;0
BilC;0;1;0;0;1;0;0;1;0;1;0;0;0
Blcy;0;1;0;0;1;0;0;0;1;0;1;0;0
BrBa P1;0;1;0;0;1;0;0;0;1;0;1;0;0
BrBa P2;0;1;0;0;1;0;0;0;1;0;1;0;0
Buss;0;1;0;0;0;1;0;1;0;1;0;0;0
Chat;0;1;0;1;0;0;0;1;0;1;0;0;0
Brte;0;1;0;1;0;0;0;1;0;1;0;0;0
Cuss;0;1;0;0;0;1;0;1;0;1;0;0;0
Dnvr P1;0;1;0;1;0;0;0;0;1;1;0;0;0
Dnvr P2;0;1;0;1;0;0;0;0;1;1;0;0;0
Esco;0;1;0;0;0;1;0;1;0;1;0;0;0
Essr P2;0;1;1;0;0;0;0;1;0;1;0;0;0
Essr P3;0;1;1;0;0;0;0;1;0;1;0;0;0
Esey;0;1;1;0;0;0;0;1;0;1;0;0;0
Etlt;0;1;0;0;0;1;0;1;0;1;0;0;0
Frey;0;1;0;0;1;0;0;1;0;1;0;0;0
Glux P2;0;1;0;0;0;1;0;0;1;1;0;0;0
Glux P3;0;1;0;0;0;1;0;0;1;1;0;0;0
Grnd Agg;1;0;0;0;1;0;0;0;1;1;0;0;0
Grnd StG;0;1;0;0;0;1;0;0;1;1;0;0;0
Grsg;0;1;0;0;0;1;0;0;1;1;0;0;0
Illz;0;1;0;0;0;1;0;1;0;1;0;0;0
Ladx;0;1;0;0;0;1;0;1;0;1;0;0;0
LNcy Dmt;0;1;0;0;0;1;0;1;0;1;0;0;0
Lgre Fee;1;0;1;0;0;0;0;1;0;1;0;0;0
Lgre Fra;1;0;0;0;0;0;1;1;0;1;0;0;0
Lemb;1;0;1;0;0;0;0;1;0;1;0;0;0
LuxB;0;1;0;1;0;0;0;0;1;0;1;0;0
Mack P2-P3;0;1;1;0;0;0;0;1;0;1;0;0;0
Mack P4;0;1;0;1;0;0;0;1;0;1;0;0;0
Magn;0;1;0;0;0;1;0;1;0;0;0;1;0
MgnC P2;0;1;1;0;0;0;0;1;0;1;0;0;0
MgnC P4;0;1;1;0;0;0;0;1;0;1;0;0;0
Mass;0;1;0;0;1;0;0;1;0;1;0;0;0
MMtz;0;1;1;0;0;0;0;0;1;1;0;0;0
Mtly;0;1;0;1;0;0;0;1;0;1;0;0;0
Naix;0;1;0;0;0;1;0;1;0;1;0;0;0
Nied Oct;1;0;1;0;0;0;0;0;1;1;0;0;0
Nied Thm;0;1;0;0;0;1;0;0;1;0;1;0;0
Prgn;1;0;0;0;0;1;0;1;0;1;0;0;0
PlmB;0;1;0;0;0;1;0;0;1;0;1;0;0
SDie;0;1;0;0;0;1;0;0;1;1;0;0;0
SSab;1;0;1;0;0;0;0;1;0;1;0;0;0
SHon;0;1;0;0;0;1;0;0;1;0;1;0;0
SPer;0;1;0;0;0;1;0;1;0;0;0;1;0
Sant;0;1;0;0;0;1;0;1;0;0;0;1;0
Sarr;0;1;0;0;0;1;0;0;1;1;0;0;0
Srmz;1;0;0;0;0;1;0;0;1;0;0;0;1
SoMa P1-P2;1;0;0;0;0;0;1;1;0;1;0;0;0
SoMa P2;1;0;1;0;0;0;0;1;0;1;0;0;0
SoMa P3;1;0;1;0;0;0;0;1;0;1;0;0;0
Sein P1;0;1;0;1;0;0;0;1;0;1;0;0;0
Sein P2;0;1;1;0;0;0;0;1;0;1;0;0;0
Sein P3;0;1;1;0;0;0;0;1;0;1;0;0;0
Sein P4;0;1;1;0;0;0;0;1;0;1;0;0;0
Terf;1;0;0;0;1;0;0;1;0;1;0;0;0
Tran;0;1;0;0;1;0;0;1;0;1;0;0;0
ViHe PdA;0;1;1;0;0;0;0;1;0;1;0;0;0
ViHe Lac;0;1;1;0;0;0;0;1;0;1;0;0;0
Vitr;0;1;0;0;0;1;0;1;0;1;0;0;0
Vitl;0;1;0;0;1;0;0;1;0;0;0;1;0
